State,Latitude,Longitude,Temperature
Alabama,32.806671,-86.79113,58
Alaska,61.370716,-152.404419,35
Arizona,33.729759,-111.431221,75
Arkansas,34.969704,-92.373123,55
California,36.116203,-119.681564,70
Colorado,39.059811,-105.311104,45
Connecticut,41.597782,-72.755371,52
Delaware,39.318523,-75.507141,60
Florida,27.766279,-81.686783,78
Georgia,33.040619,-83.643074,62
Hawaii,21.094318,-157.498337,80
Idaho,44.240459,-114.478828,50
Illinois,40.349457,-88.986137,48
Indiana,39.849426,-86.258278,54
Iowa,42.011539,-93.210526,46
Kansas,38.5266,-96.726486,56
Kentucky,37.66814,-84.670067,57
Louisiana,31.169546,-91.867805,65
Maine,44.693947,-69.381927,42
Maryland,39.063946,-76.802101,55
Massachusetts,42.230171,-71.530106,53
Michigan,43.326618,-84.536095,47
Minnesota,45.694454,-93.900192,43
Mississippi,32.741646,-89.678696,64
Missouri,38.456085,-92.288368,52
Montana,46.921925,-110.454353,40
Nebraska,41.12537,-98.268082,50
Nevada,38.313515,-117.055374,68
New Hampshire,43.452492,-71.563896,44
New Jersey,40.298904,-74.521011,58
New Mexico,34.840515,-106.248482,65
New York,42.165726,-74.948051,48
North Carolina,35.630066,-79.806419,60
North Dakota,47.528912,-99.784012,37
Ohio,40.388783,-82.764915,53
Oklahoma,35.565342,-96.928917,58
Oregon,44.572021,-122.070938,55
Pennsylvania,40.590752,-77.209755,52
Rhode Island,41.680893,-71.51178,54
South Carolina,33.856892,-80.945007,65
South Dakota,44.299782,-99.438828,41
Tennessee,35.747845,-86.692345,57
Texas,31.054487,-97.563461,70
Utah,40.150032,-111.862434,55
Vermont,44.045876,-72.710686,43
Virginia,37.769337,-78.169968,58
Washington,47.400902,-121.490494,53
West Virginia,38.491226,-80.954456,50
Wisconsin,44.268543,-89.616508,45
Wyoming,42.755966,-107.30249,38
